channel_title,long_trending_count
SEVENTEEN,2
SHOWTIME Sports,2
SACCONEJOLYs,2
SB Nation,2
SB-LII Commercials,2
Ryland Adams,2
Dua Lipa,2
Drew Lynch,2
Rhythm Boyz,2
RiceGum,2
Dice Media,2
Denitslava Makeup,2
STX Entertainment,2
SUPERFRUIT,2
Dina Tokio,2
RoyceDa59VEVO,2
Rudimental,2
Russell Brand,2
RomeoSantosVEVO,2
Rose Telugu Movies,2
Round2hell,2
Rob Scallon,2
PBS Space Time,2
PGA TOUR,2
PHP,2
FORMULA 1,2
FOX Sports,2
FLAME MEDIA,2
Dino James,2
Discovery UK,2
Samsung Mobile USA,2
Sanadsk,2
Desus & Mero,2
Dharma Productions,2
Dhaval Domadiya,2
Nicol Concilio,2
Nicole Guerriero,2
Nikita Dragun,2
Shoshana Bean,2
Shay Mitchell,2
SebastianYatraVEVO,2
ScreenPrism,2
Scott Manley,2
Sanam,2
Sandeep Maheshwari,2
Sara Dietschy,2
OhmynewsTV,2
Olivia Jade,2
NocutV,2
Filmy Focus,2
Filmylooks,2
First Show,2
DanAndPhilGAMES,2
Daddy Yankee,2
Dolan Twins,2
Don Diablo,2
Evan Edinger,2
Open Road Films,2
Omaze,2
Omeleto,2
Ondraga Entertainment,2
Official Jeremy Corbyn Channel,2
Colleen Vlogs,2
Steve TV Show,2
Star Maa,2
Star Wars Theory,2
StarTalk,2
Sports Edge,2
DJKhaledVEVO,2
Crown Records,2
SoSorry,2
Soccer AM,2
SmarterEveryDay,2
SnoopDoggVEVO,2
Slayy Point,2
Silver Screen,2
Dani Ochoa,2
Colleen Ballinger,2
FreeDawkins,2
FoundFlix,2
Fox Star India,2
Flo Rida,2
Special Books by Special Kids,2
Sophie Louise,2
Sonic the Hedgehog,2
Sonotek Haryanvi,2
Nickelodeon,2
Nicki Minaj,2
Nicki Swift,2
Natalies Outlet,2
NTV Telugu,2
NHL,2
NJ.com,2
NMF News,2
Tamil The Hindu,2
TV9 Trending,2
TV9 Today,2
Fully,2
FunForLouis,2
Funk You,2
Friday Film House,2
Monster Energy Supercross,2
Summoning Salt,2
SuperCarlinBrothers,2
Suresh Productions,2
Studio Saraswati Official,2
StudiocanalUK,2
Strange Parts,2
Studio Sangeeta,2
Casually Explained,2
Movie Trailers Source,2
Moviebuff Tamil,2
TED,2
Clean Bandit,2
Chromeo,2
ChrisJedayVEVO,2
Sway's Universe,2
T-Mobile,2
